date,time_local,event,impact
2021-01-21,14:15,ECB_Rate_Decision,high
2021-03-11,14:15,ECB_Rate_Decision,high
2021-04-22,14:15,ECB_Rate_Decision,high
2021-06-10,14:15,ECB_Rate_Decision,high
2021-07-22,14:15,ECB_Rate_Decision,high
2021-09-09,14:15,ECB_Rate_Decision,high
2021-10-28,14:15,ECB_Rate_Decision,high
2021-12-16,14:15,ECB_Rate_Decision,high
2022-02-03,14:15,ECB_Rate_Decision,high
2022-03-10,14:15,ECB_Rate_Decision,high
2022-04-14,14:15,ECB_Rate_Decision,high
2022-06-09,14:15,ECB_Rate_Decision,high
2022-07-21,14:15,ECB_Rate_Decision,high
2022-09-08,14:15,ECB_Rate_Decision,high
2022-10-27,14:15,ECB_Rate_Decision,high
2022-12-15,14:15,ECB_Rate_Decision,high
2023-02-02,14:15,ECB_Rate_Decision,high
2023-03-16,14:15,ECB_Rate_Decision,high
2023-05-04,14:15,ECB_Rate_Decision,high
2023-06-15,14:15,ECB_Rate_Decision,high
2023-07-27,14:15,ECB_Rate_Decision,high
2023-09-14,14:15,ECB_Rate_Decision,high
2023-10-26,14:15,ECB_Rate_Decision,high
2023-12-14,14:15,ECB_Rate_Decision,high
2024-01-25,14:15,ECB_Rate_Decision,high
2024-03-07,14:15,ECB_Rate_Decision,high
2024-04-11,14:15,ECB_Rate_Decision,high
2024-06-06,14:15,ECB_Rate_Decision,high
2024-07-18,14:15,ECB_Rate_Decision,high
2024-09-12,14:15,ECB_Rate_Decision,high
2024-10-17,14:15,ECB_Rate_Decision,high
2024-12-12,14:15,ECB_Rate_Decision,high
2025-01-30,14:15,ECB_Rate_Decision,high
2025-03-06,14:15,ECB_Rate_Decision,high
2025-04-17,14:15,ECB_Rate_Decision,high
2025-06-05,14:15,ECB_Rate_Decision,high
2025-07-24,14:15,ECB_Rate_Decision,high
2025-09-11,14:15,ECB_Rate_Decision,high
2025-10-30,14:15,ECB_Rate_Decision,high
2025-12-18,14:15,ECB_Rate_Decision,high
2026-01-22,14:15,ECB_Rate_Decision,high
2026-03-05,14:15,ECB_Rate_Decision,high
